allele,n_peptides,lambda,epsilon,epochs,fake_pcc,fake_mse
B0702,1262,0.01,0.05,200,0.718775,0.026274
B0702,1262,0.01,0.1,200,0.650795,0.034429
B0702,1262,0.1,0.01,200,0.752527,0.022484
B0702,1262,0.1,0.05,200,0.719510,0.026173
B0702,1262,0.1,0.1,200,0.651773,0.034268
B0702,1262,0.3,0.01,200,0.753682,0.022350
B0702,1262,0.3,0.05,200,0.720919,0.025975
B0702,1262,0.3,0.1,200,0.653724,0.033939
B0702,1262,1.0,0.01,200,0.756940,0.021972
B0702,1262,1.0,0.05,200,0.724931,0.025409
B0702,1262,1.0,0.1,200,0.659402,0.032986
B0702,1262,3.0,0.01,200,0.763089,0.021270
B0702,1262,3.0,0.05,200,0.732695,0.024310
B0702,1262,3.0,0.1,200,0.670354,0.031129
B0702,1262,10.0,0.01,200,0.772247,0.020359
B0702,1262,10.0,0.05,200,0.744580,0.022637
B0702,1262,10.0,0.1,200,0.686727,0.028144
B0702,1262,30.0,0.01,200,0.776408,0.020729
B0702,1262,30.0,0.05,200,0.749246,0.022253
B0702,1262,30.0,0.1,200,0.695551,0.026055
B0801,708,0.001,0.01,200,0.379082,0.009352
B0801,708,0.001,0.05,200,0.349102,0.010557
B0801,708,0.001,0.1,200,0.317896,0.012614
B0801,708,0.003,0.01,200,0.379186,0.009349
B0801,708,0.003,0.05,200,0.349205,0.010552
B0801,708,0.003,0.1,200,0.317991,0.012608
B0801,708,0.01,0.01,200,0.379547,0.009336
B0801,708,0.01,0.05,200,0.349559,0.010536
B0801,708,0.01,0.1,200,0.318318,0.012587
B0801,708,0.1,0.01,200,0.383874,0.009185
B0801,708,0.1,0.05,200,0.353601,0.010352
B0801,708,0.1,0.1,200,0.321959,0.012348
B0801,708,0.3,0.01,200,0.391853,0.008914
B0801,708,0.3,0.05,200,0.360675,0.010035
B0801,708,0.3,0.1,200,0.328347,0.011935
B0801,708,1.0,0.01,200,0.410224,0.008327
B0801,708,1.0,0.05,200,0.376434,0.009359
B0801,708,1.0,0.1,200,0.342920,0.011034
B0801,708,3.0,0.01,200,0.434151,0.007635
B0801,708,3.0,0.05,200,0.396207,0.008517
B0801,708,3.0,0.1,200,0.362078,0.009846
B0801,708,10.0,0.01,200,0.451520,0.007221
B0801,708,10.0,0.05,200,0.409308,0.007803
B0801,708,10.0,0.1,200,0.377343,0.008645
B0801,708,30.0,0.01,200,0.436435,0.007691
B0801,708,30.0,0.05,200,0.399761,0.007853
B0801,708,30.0,0.1,200,0.367391,0.008267
B1501,978,0.001,0.01,200,0.696409,0.017022
B1501,978,0.001,0.05,200,0.669628,0.018617
B1501,978,0.001,0.1,200,0.613368,0.022661
B1501,978,0.003,0.01,200,0.696440,0.017019
B1501,978,0.003,0.05,200,0.669670,0.018613
B1501,978,0.003,0.1,200,0.613419,0.022655
B1501,978,0.01,0.01,200,0.696546,0.017010
B1501,978,0.01,0.05,200,0.669812,0.018600
B1501,978,0.01,0.1,200,0.613587,0.022635
B1501,978,0.1,0.01,200,0.697808,0.016897
B1501,978,0.1,0.05,200,0.671269,0.018456
B1501,978,0.1,0.1,200,0.615105,0.022434
B1501,978,0.3,0.01,200,0.700096,0.016689
B1501,978,0.3,0.05,200,0.673544,0.018214
B1501,978,0.3,0.1,200,0.617538,0.022081
B1501,978,1.0,0.01,200,0.705188,0.016219
B1501,978,1.0,0.05,200,0.678457,0.017665
B1501,978,1.0,0.1,200,0.623035,0.021212
B1501,978,3.0,0.01,200,0.711439,0.015681
B1501,978,3.0,0.05,200,0.684433,0.016992
B1501,978,3.0,0.1,200,0.629191,0.019970
B1501,978,10.0,0.01,200,0.713650,0.015913
B1501,978,10.0,0.05,200,0.683844,0.017187
B1501,978,10.0,0.1,200,0.619524,0.019537
B1501,978,30.0,0.01,200,0.699575,0.018744
B1501,978,30.0,0.05,200,0.649859,0.020592
B1501,978,30.0,0.1,200,0.550467,0.022708
B1801,118,0.001,0.01,200,0.642928,0.026862
B1801,118,0.001,0.05,200,0.571223,0.034571
B1801,118,0.001,0.1,200,0.556575,0.037485
B1801,118,0.003,0.01,200,0.644167,0.026738
B1801,118,0.003,0.05,200,0.577368,0.033832
B1801,118,0.003,0.1,200,0.567302,0.036030
B1801,118,0.01,0.01,200,0.648404,0.026319
B1801,118,0.01,0.05,200,0.596999,0.031585
B1801,118,0.01,0.1,200,0.598688,0.032118
B1801,118,0.1,0.01,200,0.690817,0.022520
B1801,118,0.1,0.05,200,0.701249,0.021942
B1801,118,0.1,0.1,200,0.703609,0.021941
B1801,118,0.3,0.01,200,0.731394,0.019518
B1801,118,0.3,0.05,200,0.734495,0.019652
B1801,118,0.3,0.1,200,0.730813,0.020161
B1801,118,1.0,0.01,200,0.740616,0.019233
B1801,118,1.0,0.05,200,0.737366,0.020392
B1801,118,1.0,0.1,200,0.727506,0.021601
B1801,118,3.0,0.01,200,0.716624,0.021923
B1801,118,3.0,0.05,200,0.713330,0.024655
B1801,118,3.0,0.1,200,0.700899,0.027128
B1801,118,10.0,0.01,200,0.625829,0.030425
B1801,118,10.0,0.05,200,0.625568,0.037643
B1801,118,10.0,0.1,200,0.604681,0.044284
B1801,118,30.0,0.01,200,0.400806,0.046374
B1801,118,30.0,0.05,200,0.354077,0.060701
B1801,118,30.0,0.1,200,0.310475,0.070555
B2705,969,0.001,0.01,200,0.654146,0.009343
B2705,969,0.001,0.05,200,0.591580,0.011025
B2705,969,0.001,0.1,200,0.507713,0.013907
B2705,969,0.003,0.01,200,0.654166,0.009342
B2705,969,0.003,0.05,200,0.591613,0.011023
B2705,969,0.003,0.1,200,0.507762,0.013904
B2705,969,0.01,0.01,200,0.654237,0.009338
B2705,969,0.01,0.05,200,0.591724,0.011018
B2705,969,0.01,0.1,200,0.507924,0.013893
B2705,969,0.1,0.01,200,0.655102,0.009296
B2705,969,0.1,0.05,200,0.592883,0.010957
B2705,969,0.1,0.1,200,0.509464,0.013777
B2705,969,0.3,0.01,200,0.656768,0.009213
B2705,969,0.3,0.05,200,0.594825,0.010846
B2705,969,0.3,0.1,200,0.512150,0.013559
B2705,969,1.0,0.01,200,0.660998,0.008999
B2705,969,1.0,0.05,200,0.599424,0.010564
B2705,969,1.0,0.1,200,0.519019,0.012982
B2705,969,3.0,0.01,200,0.667348,0.008697
B2705,969,3.0,0.05,200,0.605733,0.010163
B2705,969,3.0,0.1,200,0.529855,0.012057
B2705,969,10.0,0.01,200,0.671430,0.008758
B2705,969,10.0,0.05,200,0.606327,0.010195
B2705,969,10.0,0.1,200,0.534597,0.011412
B2705,969,30.0,0.01,200,0.656898,0.010420
B2705,969,30.0,0.05,200,0.569082,0.012068
B2705,969,30.0,0.1,200,0.484198,0.012974
B3501,736,0.001,0.01,200,0.609003,0.047457
B3501,736,0.001,0.05,200,0.571137,0.053644
B3501,736,0.001,0.1,200,0.507581,0.067147
B3501,736,0.003,0.01,200,0.609063,0.047444
B3501,736,0.003,0.05,200,0.571220,0.053625
B3501,736,0.003,0.1,200,0.507672,0.067119
B3501,736,0.01,0.01,200,0.609268,0.047399
B3501,736,0.01,0.05,200,0.571499,0.053562
B3501,736,0.01,0.1,200,0.507971,0.067027
B3501,736,0.1,0.01,200,0.611722,0.046855
B3501,736,0.1,0.05,200,0.574358,0.052892
B3501,736,0.1,0.1,200,0.510791,0.066119
B3501,736,0.3,0.01,200,0.616225,0.045855
B3501,736,0.3,0.05,200,0.578803,0.051788
B3501,736,0.3,0.1,200,0.515230,0.064591
B3501,736,1.0,0.01,200,0.626381,0.043594
B3501,736,1.0,0.05,200,0.588109,0.049289
B3501,736,1.0,0.1,200,0.524752,0.060981
B3501,736,3.0,0.01,200,0.638287,0.040936
B3501,736,3.0,0.05,200,0.598808,0.046018
B3501,736,3.0,0.1,200,0.536378,0.055734
B3501,736,10.0,0.01,200,0.641679,0.039953
B3501,736,10.0,0.05,200,0.602604,0.043533
B3501,736,10.0,0.1,200,0.541988,0.050323
B3501,736,30.0,0.01,200,0.623017,0.043450
B3501,736,30.0,0.05,200,0.585819,0.044988
B3501,736,30.0,0.1,200,0.530285,0.049530
B4001,1078,0.001,0.01,200,0.521694,0.010249
B4001,1078,0.001,0.05,200,0.454191,0.012007
B4001,1078,0.001,0.1,200,0.375717,0.015182
B4001,1078,0.003,0.01,200,0.521727,0.010247
B4001,1078,0.003,0.05,200,0.454214,0.012005
B4001,1078,0.003,0.1,200,0.375731,0.015180
B4001,1078,0.01,0.01,200,0.521839,0.010244
B4001,1078,0.01,0.05,200,0.454294,0.012001
B4001,1078,0.01,0.1,200,0.375780,0.015172
B4001,1078,0.1,0.01,200,0.523184,0.010197
B4001,1078,0.1,0.05,200,0.455227,0.011944
B4001,1078,0.1,0.1,200,0.376354,0.015080
B4001,1078,0.3,0.01,200,0.525622,0.010110
B4001,1078,0.3,0.05,200,0.456828,0.011838
B4001,1078,0.3,0.1,200,0.377357,0.014902
B4001,1078,1.0,0.01,200,0.530935,0.009912
B4001,1078,1.0,0.05,200,0.460115,0.011578
B4001,1078,1.0,0.1,200,0.379598,0.014420
B4001,1078,3.0,0.01,200,0.536758,0.009676
B4001,1078,3.0,0.05,200,0.463496,0.011189
B4001,1078,3.0,0.1,200,0.382429,0.013569
B4001,1078,10.0,0.01,200,0.535655,0.009692
B4001,1078,10.0,0.05,200,0.462632,0.010846
B4001,1078,10.0,0.1,200,0.381893,0.012405
B4001,1078,30.0,0.01,200,0.512837,0.010510
B4001,1078,30.0,0.05,200,0.446337,0.011256
B4001,1078,30.0,0.1,200,0.348914,0.012305
B4002,118,0.001,0.01,200,0.523306,0.033177
B4002,118,0.001,0.05,200,0.559207,0.032360
B4002,118,0.001,0.1,200,0.576701,0.031935
B4002,118,0.003,0.01,200,0.524933,0.033008
B4002,118,0.003,0.05,200,0.565925,0.031567
B4002,118,0.003,0.1,200,0.588789,0.030450
B4002,118,0.01,0.01,200,0.530551,0.032434
B4002,118,0.01,0.05,200,0.587635,0.029192
B4002,118,0.01,0.1,200,0.624331,0.026594
B4002,118,0.1,0.01,200,0.591789,0.027186
B4002,118,0.1,0.05,200,0.694388,0.020975
B4002,118,0.1,0.1,200,0.702956,0.020548
B4002,118,0.3,0.01,200,0.663873,0.022962
B4002,118,0.3,0.05,200,0.697851,0.021807
B4002,118,0.3,0.1,200,0.685085,0.022528
B4002,118,1.0,0.01,200,0.695401,0.022746
B4002,118,1.0,0.05,200,0.687073,0.025279
B4002,118,1.0,0.1,200,0.663622,0.026274
B4002,118,3.0,0.01,200,0.680824,0.025904
B4002,118,3.0,0.05,200,0.669990,0.030977
B4002,118,3.0,0.1,200,0.643530,0.032310
B4002,118,10.0,0.01,200,0.594893,0.033716
B4002,118,10.0,0.05,200,0.533664,0.043624
B4002,118,10.0,0.1,200,0.453286,0.047695
B4002,118,30.0,0.01,200,0.335649,0.047629
B4002,118,30.0,0.05,200,0.190875,0.062739
B4002,118,30.0,0.1,200,0.092932,0.069195
B4402,119,0.001,0.01,200,0.574367,0.027134
B4402,119,0.001,0.05,200,0.538325,0.037150
B4402,119,0.001,0.1,200,0.535088,0.041180
B4402,119,0.003,0.01,200,0.575476,0.026989
B4402,119,0.003,0.05,200,0.541936,0.036285
B4402,119,0.003,0.1,200,0.540546,0.039504
B4402,119,0.01,0.01,200,0.579290,0.026499
B4402,119,0.01,0.05,200,0.553526,0.033665
B4402,119,0.01,0.1,200,0.556284,0.035010
B4402,119,0.1,0.01,200,0.619060,0.022111
B4402,119,0.1,0.05,200,0.615050,0.022774
B4402,119,0.1,0.1,200,0.604045,0.023382
B4402,119,0.3,0.01,200,0.659676,0.018740
B4402,119,0.3,0.05,200,0.634713,0.020257
B4402,119,0.3,0.1,200,0.614932,0.021424
B4402,119,1.0,0.01,200,0.672115,0.018010
B4402,119,1.0,0.05,200,0.637426,0.020207
B4402,119,1.0,0.1,200,0.602617,0.022291
B4402,119,3.0,0.01,200,0.663748,0.019294
B4402,119,3.0,0.05,200,0.609022,0.022900
B4402,119,3.0,0.1,200,0.553012,0.026120
B4402,119,10.0,0.01,200,0.579638,0.025041
B4402,119,10.0,0.05,200,0.477963,0.031054
B4402,119,10.0,0.1,200,0.405365,0.035418
B4402,119,30.0,0.01,200,0.384351,0.036479
B4402,119,30.0,0.05,200,0.290314,0.043278
B4402,119,30.0,0.1,200,0.249205,0.047247
B4403,119,0.001,0.01,200,0.656278,0.020920
B4403,119,0.001,0.05,200,0.668223,0.021558
B4403,119,0.001,0.1,200,0.669181,0.022511
B4403,119,0.003,0.01,200,0.657660,0.020804
B4403,119,0.003,0.05,200,0.673617,0.021022
B4403,119,0.003,0.1,200,0.678855,0.021451
B4403,119,0.01,0.01,200,0.662397,0.020412
B4403,119,0.01,0.05,200,0.690516,0.019428
B4403,119,0.01,0.1,200,0.705891,0.018726
B4403,119,0.1,0.01,200,0.710421,0.016858
B4403,119,0.1,0.05,200,0.762400,0.013862
B4403,119,0.1,0.1,200,0.765499,0.013672
B4403,119,0.3,0.01,200,0.758205,0.014023
B4403,119,0.3,0.05,200,0.772677,0.013288
B4403,119,0.3,0.1,200,0.773859,0.013202
B4403,119,1.0,0.01,200,0.776462,0.013470
B4403,119,1.0,0.05,200,0.771421,0.013873
B4403,119,1.0,0.1,200,0.774446,0.013747
B4403,119,3.0,0.01,200,0.766731,0.015346
B4403,119,3.0,0.05,200,0.755419,0.016502
B4403,119,3.0,0.1,200,0.752985,0.017016
B4403,119,10.0,0.01,200,0.685823,0.022547
B4403,119,10.0,0.05,200,0.648146,0.025889
B4403,119,10.0,0.1,200,0.614643,0.029362
B4403,119,30.0,0.01,200,0.408386,0.036786
B4403,119,30.0,0.05,200,0.331963,0.042924
B4403,119,30.0,0.1,200,0.296223,0.051680
B4501,114,0.001,0.01,200,0.658878,0.018770
B4501,114,0.001,0.05,200,0.678892,0.018663
B4501,114,0.001,0.1,200,0.695179,0.018505
B4501,114,0.003,0.01,200,0.660407,0.018649
B4501,114,0.003,0.05,200,0.684659,0.018160
B4501,114,0.003,0.1,200,0.705084,0.017565
B4501,114,0.01,0.01,200,0.665645,0.018241
B4501,114,0.01,0.05,200,0.702373,0.016694
B4501,114,0.01,0.1,200,0.730986,0.015291
B4501,114,0.1,0.01,200,0.718272,0.014653
B4501,114,0.1,0.05,200,0.762422,0.012447
B4501,114,0.1,0.1,200,0.762683,0.012496
B4501,114,0.3,0.01,200,0.765387,0.012138
B4501,114,0.3,0.05,200,0.766491,0.012113
B4501,114,0.3,0.1,200,0.768310,0.012043
B4501,114,1.0,0.01,200,0.766375,0.012211
B4501,114,1.0,0.05,200,0.762274,0.012315
B4501,114,1.0,0.1,200,0.763072,0.012340
B4501,114,3.0,0.01,200,0.728715,0.014071
B4501,114,3.0,0.05,200,0.730122,0.013816
B4501,114,3.0,0.1,200,0.721103,0.014672
B4501,114,10.0,0.01,200,0.615867,0.018658
B4501,114,10.0,0.05,200,0.630756,0.017673
B4501,114,10.0,0.1,200,0.617340,0.019962
B4501,114,30.0,0.01,200,0.467065,0.025380
B4501,114,30.0,0.05,200,0.506983,0.022151
B4501,114,30.0,0.1,200,0.512803,0.023973
B5101,244,0.001,0.01,200,0.557798,0.095729
B5101,244,0.001,0.05,200,0.460835,0.154921
B5101,244,0.001,0.1,200,0.442060,0.173046
B5101,244,0.003,0.01,200,0.558297,0.095454
B5101,244,0.003,0.05,200,0.462965,0.153110
B5101,244,0.003,0.1,200,0.445282,0.170063
B5101,244,0.01,0.01,200,0.560027,0.094507
B5101,244,0.01,0.05,200,0.470198,0.147161
B5101,244,0.01,0.1,200,0.455909,0.160665
B5101,244,0.1,0.01,200,0.580243,0.084295
B5101,244,0.1,0.05,200,0.538202,0.103162
B5101,244,0.1,0.1,200,0.537985,0.105464
B5101,244,0.3,0.01,200,0.613943,0.070277
B5101,244,0.3,0.05,200,0.606249,0.073589
B5101,244,0.3,0.1,200,0.603287,0.075907
B5101,244,1.0,0.01,200,0.668401,0.053784
B5101,244,1.0,0.05,200,0.668435,0.054236
B5101,244,1.0,0.1,200,0.654832,0.057635
B5101,244,3.0,0.01,200,0.703854,0.047285
B5101,244,3.0,0.05,200,0.695466,0.048441
B5101,244,3.0,0.1,200,0.668397,0.053230
B5101,244,10.0,0.01,200,0.717792,0.050442
B5101,244,10.0,0.05,200,0.694693,0.052852
B5101,244,10.0,0.1,200,0.653739,0.060093
B5101,244,30.0,0.01,200,0.706373,0.064395
B5101,244,30.0,0.05,200,0.672483,0.068368
B5101,244,30.0,0.1,200,0.617528,0.077213
B5301,254,0.001,0.01,200,0.675678,0.076001
B5301,254,0.001,0.05,200,0.580058,0.127266
B5301,254,0.001,0.1,200,0.552581,0.147429
B5301,254,0.003,0.01,200,0.676087,0.075802
B5301,254,0.003,0.05,200,0.582192,0.125679
B5301,254,0.003,0.1,200,0.555860,0.144644
B5301,254,0.01,0.01,200,0.677505,0.075118
B5301,254,0.01,0.05,200,0.589378,0.120490
B5301,254,0.01,0.1,200,0.566585,0.135925
B5301,254,0.1,0.01,200,0.693587,0.067792
B5301,254,0.1,0.05,200,0.652290,0.083582
B5301,254,0.1,0.1,200,0.643121,0.087401
B5301,254,0.3,0.01,200,0.718182,0.058037
B5301,254,0.3,0.05,200,0.705497,0.061181
B5301,254,0.3,0.1,200,0.692180,0.064898
B5301,254,1.0,0.01,200,0.749220,0.048215
B5301,254,1.0,0.05,200,0.739343,0.049752
B5301,254,1.0,0.1,200,0.713882,0.054553
B5301,254,3.0,0.01,200,0.755171,0.047925
B5301,254,3.0,0.05,200,0.734033,0.050765
B5301,254,3.0,0.1,200,0.697257,0.056028
B5301,254,10.0,0.01,200,0.735167,0.057190
B5301,254,10.0,0.05,200,0.695879,0.060797
B5301,254,10.0,0.1,200,0.644445,0.065339
B5301,254,30.0,0.01,200,0.698635,0.075781
B5301,254,30.0,0.05,200,0.630020,0.077383
B5301,254,30.0,0.1,200,0.568090,0.078205
B5401,255,0.001,0.01,200,0.657456,0.073304
B5401,255,0.001,0.05,200,0.549418,0.125031
B5401,255,0.001,0.1,200,0.513477,0.149537
B5401,255,0.003,0.01,200,0.657858,0.073116
B5401,255,0.003,0.05,200,0.551920,0.123479
B5401,255,0.003,0.1,200,0.517799,0.146540
B5401,255,0.01,0.01,200,0.659249,0.072473
B5401,255,0.01,0.05,200,0.560281,0.118425
B5401,255,0.01,0.1,200,0.531767,0.137231
B5401,255,0.1,0.01,200,0.674812,0.065613
B5401,255,0.1,0.05,200,0.628441,0.083395
B5401,255,0.1,0.1,200,0.621447,0.088016
B5401,255,0.3,0.01,200,0.697932,0.056514
B5401,255,0.3,0.05,200,0.678245,0.062804
B5401,255,0.3,0.1,200,0.669559,0.066509
B5401,255,1.0,0.01,200,0.727226,0.046931
B5401,255,1.0,0.05,200,0.710123,0.051576
B5401,255,1.0,0.1,200,0.696666,0.055904
B5401,255,3.0,0.01,200,0.736392,0.045999
B5401,255,3.0,0.05,200,0.713037,0.052757
B5401,255,3.0,0.1,200,0.697387,0.058134
B5401,255,10.0,0.01,200,0.717209,0.056090
B5401,255,10.0,0.05,200,0.687885,0.066380
B5401,255,10.0,0.1,200,0.659126,0.073773
B5401,255,30.0,0.01,200,0.666861,0.076250
B5401,255,30.0,0.05,200,0.619856,0.090549
B5401,255,30.0,0.1,200,0.563971,0.099799
B5701,59,0.001,0.01,200,0.372421,0.042071
B5701,59,0.001,0.05,200,0.397801,0.047284
B5701,59,0.001,0.1,200,0.390903,0.053304
B5701,59,0.003,0.01,200,0.374429,0.041877
B5701,59,0.003,0.05,200,0.406762,0.046138
B5701,59,0.003,0.1,200,0.407174,0.050777
B5701,59,0.01,0.01,200,0.381386,0.041220
B5701,59,0.01,0.05,200,0.436220,0.042625
B5701,59,0.01,0.1,200,0.457530,0.043819
B5701,59,0.1,0.01,200,0.460050,0.034930
B5701,59,0.1,0.05,200,0.610115,0.027529
B5701,59,0.1,0.1,200,0.634456,0.026356
B5701,59,0.3,0.01,200,0.567032,0.028971
B5701,59,0.3,0.05,200,0.631157,0.026510
B5701,59,0.3,0.1,200,0.617563,0.027569
B5701,59,1.0,0.01,200,0.637734,0.027728
B5701,59,1.0,0.05,200,0.539536,0.031423
B5701,59,1.0,0.1,200,0.448982,0.036534
B5701,59,3.0,0.01,200,0.556920,0.033543
B5701,59,3.0,0.05,200,0.304347,0.040652
B5701,59,3.0,0.1,200,0.193703,0.052335
B5701,59,10.0,0.01,200,0.134231,0.044076
B5701,59,10.0,0.05,200,0.009294,0.053578
B5701,59,10.0,0.1,200,-0.025049,0.066910
B5701,59,30.0,0.01,200,-0.162455,0.052162
B5701,59,30.0,0.05,200,-0.151796,0.060210
B5701,59,30.0,0.1,200,-0.173161,0.067789
B5801,988,0.001,0.01,200,0.685633,0.020241
B5801,988,0.001,0.05,200,0.663585,0.024324
B5801,988,0.001,0.1,200,0.625264,0.030667
B5801,988,0.003,0.01,200,0.685659,0.020237
B5801,988,0.003,0.05,200,0.663616,0.024318
B5801,988,0.003,0.1,200,0.625297,0.030657
B5801,988,0.01,0.01,200,0.685750,0.020225
B5801,988,0.01,0.05,200,0.663720,0.024297
B5801,988,0.01,0.1,200,0.625400,0.030627
B5801,988,0.1,0.01,200,0.686815,0.020082
B5801,988,0.1,0.05,200,0.664643,0.024084
B5801,988,0.1,0.1,200,0.626109,0.030330
B5801,988,0.3,0.01,200,0.688646,0.019823
B5801,988,0.3,0.05,200,0.665745,0.023742
B5801,988,0.3,0.1,200,0.626903,0.029819
B5801,988,1.0,0.01,200,0.692353,0.019236
B5801,988,1.0,0.05,200,0.667171,0.022962
B5801,988,1.0,0.1,200,0.627777,0.028554
B5801,988,3.0,0.01,200,0.696094,0.018462
B5801,988,3.0,0.05,200,0.665942,0.021838
B5801,988,3.0,0.1,200,0.626147,0.026480
B5801,988,10.0,0.01,200,0.691374,0.018208
B5801,988,10.0,0.05,200,0.649541,0.021021
B5801,988,10.0,0.1,200,0.608878,0.024259
B5801,988,30.0,0.01,200,0.657488,0.020093
B5801,988,30.0,0.05,200,0.596815,0.022737
B5801,988,30.0,0.1,200,0.551201,0.025355
